"COUNTY","YEAR","WATER_SYSTEM_NUMBER","VIOLATION_TYPE_NAME","REGULATING_AGENCY","VIOL_MONTH","WaterSystemName","FederalWaterSystemType","StateWaterSystemType","WaterSystemStatus","OwnerType","PrimaryWaterSourceType","ResidentialPopulation","NonTransientPopulation","TransientPopulation","TotalPopulation","SC_Agricultural","SC_Combined","SC_Commercial","SC_Institutional","SC_Residential","SC_Total","FeeCodeDescription","SNSVVisitDate","CITY","TreatmentPlantClass","DistributionSystemClass","Kids","Teen","Senior","Adult1","Adult2"
"COLUSA",2012,"CA0600008","MCL,  AVERAGE","DISTRICT 21 - VALLEY",7,"COLUSA CO. WWD #1 - GRIMES","Community","Community","ACTIVE","Local","Groundwater",381,0,0,381,NA,104,0,0,0,104,"Small Community","11/9/2016","GRIMES","#N/A","Distribution Operator Level 1",3807,3570,1626,2717,10061
"COLUSA",2012,"CA0600008","MCL,  AVERAGE","DISTRICT 21 - VALLEY",10,"COLUSA CO. WWD #1 - GRIMES","Community","Community","ACTIVE","Local","Groundwater",381,0,0,381,NA,104,0,0,0,104,"Small Community","11/9/2016","GRIMES","#N/A","Distribution Operator Level 1",3807,3570,1626,2717,10061
"COLUSA",2012,"CA0600008","MCL,  AVERAGE","DISTRICT 21 - VALLEY",10,"COLUSA CO. WWD #1 - GRIMES","Community","Community","ACTIVE","Local","Groundwater",381,0,0,381,NA,104,0,0,0,104,"Small Community","11/9/2016","GRIMES","#N/A","Distribution Operator Level 1",3807,3570,1626,2717,10061
"COLUSA",2012,"CA0600008","MCL,  AVERAGE","DISTRICT 21 - VALLEY",1,"COLUSA CO. WWD #1 - GRIMES","Community","Community","ACTIVE","Local","Groundwater",381,0,0,381,NA,104,0,0,0,104,"Small Community","11/9/2016","GRIMES","#N/A","Distribution Operator Level 1",3807,3570,1626,2717,10061
"COLUSA",2012,"CA0600008","MCL,  AVERAGE","DISTRICT 21 - VALLEY",1,"COLUSA CO. WWD #1 - GRIMES","Community","Community","ACTIVE","Local","Groundwater",381,0,0,381,NA,104,0,0,0,104,"Small Community","11/9/2016","GRIMES","#N/A","Distribution Operator Level 1",3807,3570,1626,2717,10061
"COLUSA",2012,"CA0600008","MCL,  AVERAGE","DISTRICT 21 - VALLEY",4,"COLUSA CO. WWD #1 - GRIMES","Community","Community","ACTIVE","Local","Groundwater",381,0,0,381,NA,104,0,0,0,104,"Small Community","11/9/2016","GRIMES","#N/A","Distribution Operator Level 1",3807,3570,1626,2717,10061
"COLUSA",2012,"CA0600008","MCL,  AVERAGE","DISTRICT 21 - VALLEY",4,"COLUSA CO. WWD #1 - GRIMES","Community","Community","ACTIVE","Local","Groundwater",381,0,0,381,NA,104,0,0,0,104,"Small Community","11/9/2016","GRIMES","#N/A","Distribution Operator Level 1",3807,3570,1626,2717,10061
"COLUSA",2013,"CA0600008","MCL,  AVERAGE","DISTRICT 21 - VALLEY",1,"COLUSA CO. WWD #1 - GRIMES","Community","Community","ACTIVE","Local","Groundwater",381,0,0,381,NA,104,0,0,0,104,"Small Community","11/9/2016","GRIMES","#N/A","Distribution Operator Level 1",3786,3538,1709,2788,10151
"COLUSA",2013,"CA0600008","MCL,  AVERAGE","DISTRICT 21 - VALLEY",1,"COLUSA CO. WWD #1 - GRIMES","Community","Community","ACTIVE","Local","Groundwater",381,0,0,381,NA,104,0,0,0,104,"Small Community","11/9/2016","GRIMES","#N/A","Distribution Operator Level 1",3786,3538,1709,2788,10151
"COLUSA",2013,"CA0600008","MCL,  AVERAGE","DISTRICT 21 - VALLEY",4,"COLUSA CO. WWD #1 - GRIMES","Community","Community","ACTIVE","Local","Groundwater",381,0,0,381,NA,104,0,0,0,104,"Small Community","11/9/2016","GRIMES","#N/A","Distribution Operator Level 1",3786,3538,1709,2788,10151
"COLUSA",2013,"CA0600008","MCL,  AVERAGE","DISTRICT 21 - VALLEY",4,"COLUSA CO. WWD #1 - GRIMES","Community","Community","ACTIVE","Local","Groundwater",381,0,0,381,NA,104,0,0,0,104,"Small Community","11/9/2016","GRIMES","#N/A","Distribution Operator Level 1",3786,3538,1709,2788,10151
"COLUSA",2013,"CA0600008","MCL,  AVERAGE","DISTRICT 21 - VALLEY",7,"COLUSA CO. WWD #1 - GRIMES","Community","Community","ACTIVE","Local","Groundwater",381,0,0,381,NA,104,0,0,0,104,"Small Community","11/9/2016","GRIMES","#N/A","Distribution Operator Level 1",3786,3538,1709,2788,10151
"COLUSA",2013,"CA0600008","MCL,  AVERAGE","DISTRICT 21 - VALLEY",7,"COLUSA CO. WWD #1 - GRIMES","Community","Community","ACTIVE","Local","Groundwater",381,0,0,381,NA,104,0,0,0,104,"Small Community","11/9/2016","GRIMES","#N/A","Distribution Operator Level 1",3786,3538,1709,2788,10151
"COLUSA",2013,"CA0600008","MCL,  AVERAGE","DISTRICT 21 - VALLEY",10,"COLUSA CO. WWD #1 - GRIMES","Community","Community","ACTIVE","Local","Groundwater",381,0,0,381,NA,104,0,0,0,104,"Small Community","11/9/2016","GRIMES","#N/A","Distribution Operator Level 1",3786,3538,1709,2788,10151
"COLUSA",2013,"CA0600008","MCL,  AVERAGE","DISTRICT 21 - VALLEY",10,"COLUSA CO. WWD #1 - GRIMES","Community","Community","ACTIVE","Local","Groundwater",381,0,0,381,NA,104,0,0,0,104,"Small Community","11/9/2016","GRIMES","#N/A","Distribution Operator Level 1",3786,3538,1709,2788,10151
"COLUSA",2014,"CA0600008","MCL,  AVERAGE","DISTRICT 21 - VALLEY",1,"COLUSA CO. WWD #1 - GRIMES","Community","Community","ACTIVE","Local","Groundwater",381,0,0,381,NA,104,0,0,0,104,"Small Community","11/9/2016","GRIMES","#N/A","Distribution Operator Level 1",3752,3524,1799,2888,10176
"COLUSA",2014,"CA0600008","MCL,  AVERAGE","DISTRICT 21 - VALLEY",1,"COLUSA CO. WWD #1 - GRIMES","Community","Community","ACTIVE","Local","Groundwater",381,0,0,381,NA,104,0,0,0,104,"Small Community","11/9/2016","GRIMES","#N/A","Distribution Operator Level 1",3752,3524,1799,2888,10176
"COLUSA",2014,"CA0600008","MCL,  AVERAGE","DISTRICT 21 - VALLEY",7,"COLUSA CO. WWD #1 - GRIMES","Community","Community","ACTIVE","Local","Groundwater",381,0,0,381,NA,104,0,0,0,104,"Small Community","11/9/2016","GRIMES","#N/A","Distribution Operator Level 1",3752,3524,1799,2888,10176
"COLUSA",2014,"CA0600008","MCL,  AVERAGE","DISTRICT 21 - VALLEY",7,"COLUSA CO. WWD #1 - GRIMES","Community","Community","ACTIVE","Local","Groundwater",381,0,0,381,NA,104,0,0,0,104,"Small Community","11/9/2016","GRIMES","#N/A","Distribution Operator Level 1",3752,3524,1799,2888,10176
"COLUSA",2014,"CA0600008","MCL,  AVERAGE","DISTRICT 21 - VALLEY",10,"COLUSA CO. WWD #1 - GRIMES","Community","Community","ACTIVE","Local","Groundwater",381,0,0,381,NA,104,0,0,0,104,"Small Community","11/9/2016","GRIMES","#N/A","Distribution Operator Level 1",3752,3524,1799,2888,10176
"COLUSA",2014,"CA0600008","MCL,  AVERAGE","DISTRICT 21 - VALLEY",10,"COLUSA CO. WWD #1 - GRIMES","Community","Community","ACTIVE","Local","Groundwater",381,0,0,381,NA,104,0,0,0,104,"Small Community","11/9/2016","GRIMES","#N/A","Distribution Operator Level 1",3752,3524,1799,2888,10176
"COLUSA",2015,"CA0600008","MCL,  AVERAGE","DISTRICT 21 - VALLEY",4,"COLUSA CO. WWD #1 - GRIMES","Community","Community","ACTIVE","Local","Groundwater",381,0,0,381,NA,104,0,0,0,104,"Small Community","11/9/2016","GRIMES","#N/A","Distribution Operator Level 1",3692,3503,1856,2936,10284
"COLUSA",2015,"CA0600008","MCL,  AVERAGE","DISTRICT 21 - VALLEY",4,"COLUSA CO. WWD #1 - GRIMES","Community","Community","ACTIVE","Local","Groundwater",381,0,0,381,NA,104,0,0,0,104,"Small Community","11/9/2016","GRIMES","#N/A","Distribution Operator Level 1",3692,3503,1856,2936,10284
"COLUSA",2015,"CA0600008","MCL,  AVERAGE","DISTRICT 21 - VALLEY",1,"COLUSA CO. WWD #1 - GRIMES","Community","Community","ACTIVE","Local","Groundwater",381,0,0,381,NA,104,0,0,0,104,"Small Community","11/9/2016","GRIMES","#N/A","Distribution Operator Level 1",3692,3503,1856,2936,10284
"COLUSA",2015,"CA0600008","MCL,  AVERAGE","DISTRICT 21 - VALLEY",1,"COLUSA CO. WWD #1 - GRIMES","Community","Community","ACTIVE","Local","Groundwater",381,0,0,381,NA,104,0,0,0,104,"Small Community","11/9/2016","GRIMES","#N/A","Distribution Operator Level 1",3692,3503,1856,2936,10284
"COLUSA",2015,"CA0600008","MCL,  AVERAGE","DISTRICT 21 - VALLEY",10,"COLUSA CO. WWD #1 - GRIMES","Community","Community","ACTIVE","Local","Groundwater",381,0,0,381,NA,104,0,0,0,104,"Small Community","11/9/2016","GRIMES","#N/A","Distribution Operator Level 1",3692,3503,1856,2936,10284
"COLUSA",2015,"CA0600008","MCL,  AVERAGE","DISTRICT 21 - VALLEY",10,"COLUSA CO. WWD #1 - GRIMES","Community","Community","ACTIVE","Local","Groundwater",381,0,0,381,NA,104,0,0,0,104,"Small Community","11/9/2016","GRIMES","#N/A","Distribution Operator Level 1",3692,3503,1856,2936,10284
"COLUSA",2016,"CA0600008","MCL,  AVERAGE","DISTRICT 21 - VALLEY",1,"COLUSA CO. WWD #1 - GRIMES","Community","Community","ACTIVE","Local","Groundwater",381,0,0,381,NA,104,0,0,0,104,"Small Community","11/9/2016","GRIMES","#N/A","Distribution Operator Level 1",3651,3495,1891,3025,10346
"COLUSA",2016,"CA0600008","MCL,  AVERAGE","DISTRICT 21 - VALLEY",4,"COLUSA CO. WWD #1 - GRIMES","Community","Community","ACTIVE","Local","Groundwater",381,0,0,381,NA,104,0,0,0,104,"Small Community","11/9/2016","GRIMES","#N/A","Distribution Operator Level 1",3651,3495,1891,3025,10346
"COLUSA",2016,"CA0600008","MCL,  AVERAGE","DISTRICT 21 - VALLEY",7,"COLUSA CO. WWD #1 - GRIMES","Community","Community","ACTIVE","Local","Groundwater",381,0,0,381,NA,104,0,0,0,104,"Small Community","11/9/2016","GRIMES","#N/A","Distribution Operator Level 1",3651,3495,1891,3025,10346
"COLUSA",2016,"CA0600008","MCL,  AVERAGE","DISTRICT 21 - VALLEY",10,"COLUSA CO. WWD #1 - GRIMES","Community","Community","ACTIVE","Local","Groundwater",381,0,0,381,NA,104,0,0,0,104,"Small Community","11/9/2016","GRIMES","#N/A","Distribution Operator Level 1",3651,3495,1891,3025,10346
"COLUSA",2017,"CA0600008","MCL,  AVERAGE","DISTRICT 21 - VALLEY",1,"COLUSA CO. WWD #1 - GRIMES","Community","Community","ACTIVE","Local","Groundwater",381,0,0,381,NA,104,0,0,0,104,"Small Community","11/9/2016","GRIMES","#N/A","Distribution Operator Level 1",3612,3526,1952,3134,10388
"COLUSA",2017,"CA0600008","MCL,  AVERAGE","DISTRICT 21 - VALLEY",4,"COLUSA CO. WWD #1 - GRIMES","Community","Community","ACTIVE","Local","Groundwater",381,0,0,381,NA,104,0,0,0,104,"Small Community","11/9/2016","GRIMES","#N/A","Distribution Operator Level 1",3612,3526,1952,3134,10388
"COLUSA",2017,"CA0600008","MCL,  AVERAGE","DISTRICT 21 - VALLEY",7,"COLUSA CO. WWD #1 - GRIMES","Community","Community","ACTIVE","Local","Groundwater",381,0,0,381,NA,104,0,0,0,104,"Small Community","11/9/2016","GRIMES","#N/A","Distribution Operator Level 1",3612,3526,1952,3134,10388
"COLUSA",2017,"CA0600008","MCL,  AVERAGE","DISTRICT 21 - VALLEY",10,"COLUSA CO. WWD #1 - GRIMES","Community","Community","ACTIVE","Local","Groundwater",381,0,0,381,NA,104,0,0,0,104,"Small Community","11/9/2016","GRIMES","#N/A","Distribution Operator Level 1",3612,3526,1952,3134,10388
"COLUSA",2018,"CA0600008","MCL,  AVERAGE","DISTRICT 21 - VALLEY",1,"COLUSA CO. WWD #1 - GRIMES","Community","Community","ACTIVE","Local","Groundwater",381,0,0,381,NA,104,0,0,0,104,"Small Community","11/9/2016","GRIMES","#N/A","Distribution Operator Level 1",3543,3593,2077,3243,10344
"COLUSA",2018,"CA0600008","MCL,  AVERAGE","DISTRICT 21 - VALLEY",4,"COLUSA CO. WWD #1 - GRIMES","Community","Community","ACTIVE","Local","Groundwater",381,0,0,381,NA,104,0,0,0,104,"Small Community","11/9/2016","GRIMES","#N/A","Distribution Operator Level 1",3543,3593,2077,3243,10344
"EL DORADO",2014,"CA0900102","MCL,  AVERAGE","LPA39 - EL DORADO COUNTY",4,"GOLD BEACH PARK","Community","Community","ACTIVE","Private","Groundwater UDI Surface Water",100,0,0,100,NA,50,0,0,0,50,"Small Community","12/1/2015","EL DORADO","#N/A","Not Required",20258,25370,19382,19448,98089
"EL DORADO",2014,"CA0900102","MCL,  AVERAGE","LPA39 - EL DORADO COUNTY",4,"GOLD BEACH PARK","Community","Community","ACTIVE","Private","Groundwater UDI Surface Water",100,0,0,100,NA,50,0,0,0,50,"Small Community","12/1/2015","EL DORADO","#N/A","Not Required",20258,25370,19382,19448,98089
"EL DORADO",2015,"CA0900102","MCL,  AVERAGE","LPA39 - EL DORADO COUNTY",10,"GOLD BEACH PARK","Community","Community","ACTIVE","Private","Groundwater UDI Surface Water",100,0,0,100,NA,50,0,0,0,50,"Small Community","12/1/2015","EL DORADO","#N/A","Not Required",19737,25255,20245,20273,97630
"EL DORADO",2015,"CA0900102","MCL,  AVERAGE","LPA39 - EL DORADO COUNTY",10,"GOLD BEACH PARK","Community","Community","ACTIVE","Private","Groundwater UDI Surface Water",100,0,0,100,NA,50,0,0,0,50,"Small Community","12/1/2015","EL DORADO","#N/A","Not Required",19737,25255,20245,20273,97630
"EL DORADO",2016,"CA0900102","MCL,  AVERAGE","LPA39 - EL DORADO COUNTY",1,"GOLD BEACH PARK","Community","Community","ACTIVE","Private","Groundwater UDI Surface Water",100,0,0,100,NA,50,0,0,0,50,"Small Community","12/1/2015","EL DORADO","#N/A","Not Required",19262,25234,21348,21220,97116
"FRESNO",2012,"CA1000019","MCL,  AVERAGE","DISTRICT 23 - FRESNO",1,"FCSA #30/EL PORVENIR","Community","Community","ACTIVE","Local","Surface Water",143,0,0,143,NA,50,0,0,0,50,"Small Community","2/24/2017","THREE ROCKS","Treatment Operator Level 2","Distribution Operator Level 1",171558,161060,62273,142073,413670
"FRESNO",2012,"CA1000019","MCL,  AVERAGE","DISTRICT 23 - FRESNO",1,"FCSA #30/EL PORVENIR","Community","Community","ACTIVE","Local","Surface Water",143,0,0,143,NA,50,0,0,0,50,"Small Community","2/24/2017","THREE ROCKS","Treatment Operator Level 2","Distribution Operator Level 1",171558,161060,62273,142073,413670
"FRESNO",2012,"CA1000019","MCL,  AVERAGE","DISTRICT 23 - FRESNO",1,"FCSA #30/EL PORVENIR","Community","Community","ACTIVE","Local","Surface Water",143,0,0,143,NA,50,0,0,0,50,"Small Community","2/24/2017","THREE ROCKS","Treatment Operator Level 2","Distribution Operator Level 1",171558,161060,62273,142073,413670
"FRESNO",2012,"CA1000019","MCL,  AVERAGE","DISTRICT 23 - FRESNO",4,"FCSA #30/EL PORVENIR","Community","Community","ACTIVE","Local","Surface Water",143,0,0,143,NA,50,0,0,0,50,"Small Community","2/24/2017","THREE ROCKS","Treatment Operator Level 2","Distribution Operator Level 1",171558,161060,62273,142073,413670
"FRESNO",2012,"CA1000019","MCL,  AVERAGE","DISTRICT 23 - FRESNO",4,"FCSA #30/EL PORVENIR","Community","Community","ACTIVE","Local","Surface Water",143,0,0,143,NA,50,0,0,0,50,"Small Community","2/24/2017","THREE ROCKS","Treatment Operator Level 2","Distribution Operator Level 1",171558,161060,62273,142073,413670
"FRESNO",2012,"CA1000019","MCL,  AVERAGE","DISTRICT 23 - FRESNO",4,"FCSA #30/EL PORVENIR","Community","Community","ACTIVE","Local","Surface Water",143,0,0,143,NA,50,0,0,0,50,"Small Community","2/24/2017","THREE ROCKS","Treatment Operator Level 2","Distribution Operator Level 1",171558,161060,62273,142073,413670
"FRESNO",2012,"CA1000019","MCL,  AVERAGE","DISTRICT 23 - FRESNO",7,"FCSA #30/EL PORVENIR","Community","Community","ACTIVE","Local","Surface Water",143,0,0,143,NA,50,0,0,0,50,"Small Community","2/24/2017","THREE ROCKS","Treatment Operator Level 2","Distribution Operator Level 1",171558,161060,62273,142073,413670
"FRESNO",2012,"CA1000019","MCL,  AVERAGE","DISTRICT 23 - FRESNO",7,"FCSA #30/EL PORVENIR","Community","Community","ACTIVE","Local","Surface Water",143,0,0,143,NA,50,0,0,0,50,"Small Community","2/24/2017","THREE ROCKS","Treatment Operator Level 2","Distribution Operator Level 1",171558,161060,62273,142073,413670
"FRESNO",2012,"CA1000019","MCL,  AVERAGE","DISTRICT 23 - FRESNO",7,"FCSA #30/EL PORVENIR","Community","Community","ACTIVE","Local","Surface Water",143,0,0,143,NA,50,0,0,0,50,"Small Community","2/24/2017","THREE ROCKS","Treatment Operator Level 2","Distribution Operator Level 1",171558,161060,62273,142073,413670
"FRESNO",2012,"CA1000019","MCL,  AVERAGE","DISTRICT 23 - FRESNO",10,"FCSA #30/EL PORVENIR","Community","Community","ACTIVE","Local","Surface Water",143,0,0,143,NA,50,0,0,0,50,"Small Community","2/24/2017","THREE ROCKS","Treatment Operator Level 2","Distribution Operator Level 1",171558,161060,62273,142073,413670
"FRESNO",2012,"CA1000019","MCL,  AVERAGE","DISTRICT 23 - FRESNO",10,"FCSA #30/EL PORVENIR","Community","Community","ACTIVE","Local","Surface Water",143,0,0,143,NA,50,0,0,0,50,"Small Community","2/24/2017","THREE ROCKS","Treatment Operator Level 2","Distribution Operator Level 1",171558,161060,62273,142073,413670
"FRESNO",2012,"CA1000019","MCL,  AVERAGE","DISTRICT 23 - FRESNO",10,"FCSA #30/EL PORVENIR","Community","Community","ACTIVE","Local","Surface Water",143,0,0,143,NA,50,0,0,0,50,"Small Community","2/24/2017","THREE ROCKS","Treatment Operator Level 2","Distribution Operator Level 1",171558,161060,62273,142073,413670
"FRESNO",2012,"CA1000042","MCL,  AVERAGE","DISTRICT 23 - FRESNO",1,"FCWWD #40/SHAVER SPRINGS","Community","Community","ACTIVE","Local","Groundwater",193,0,0,193,NA,NA,0,0,69,69,"Small Community","3/24/2016","PINERIDGE","#N/A","Distribution Operator Level 1",171558,161060,62273,142073,413670
"FRESNO",2012,"CA1000042","MCL,  AVERAGE","DISTRICT 23 - FRESNO",1,"FCWWD #40/SHAVER SPRINGS","Community","Community","ACTIVE","Local","Groundwater",193,0,0,193,NA,NA,0,0,69,69,"Small Community","3/24/2016","PINERIDGE","#N/A","Distribution Operator Level 1",171558,161060,62273,142073,413670
"FRESNO",2012,"CA1000042","MCL,  AVERAGE","DISTRICT 23 - FRESNO",4,"FCWWD #40/SHAVER SPRINGS","Community","Community","ACTIVE","Local","Groundwater",193,0,0,193,NA,NA,0,0,69,69,"Small Community","3/24/2016","PINERIDGE","#N/A","Distribution Operator Level 1",171558,161060,62273,142073,413670
"FRESNO",2012,"CA1000042","MCL,  AVERAGE","DISTRICT 23 - FRESNO",4,"FCWWD #40/SHAVER SPRINGS","Community","Community","ACTIVE","Local","Groundwater",193,0,0,193,NA,NA,0,0,69,69,"Small Community","3/24/2016","PINERIDGE","#N/A","Distribution Operator Level 1",171558,161060,62273,142073,413670
"FRESNO",2012,"CA1000042","MCL,  AVERAGE","DISTRICT 23 - FRESNO",7,"FCWWD #40/SHAVER SPRINGS","Community","Community","ACTIVE","Local","Groundwater",193,0,0,193,NA,NA,0,0,69,69,"Small Community","3/24/2016","PINERIDGE","#N/A","Distribution Operator Level 1",171558,161060,62273,142073,413670
"FRESNO",2012,"CA1000042","MCL,  AVERAGE","DISTRICT 23 - FRESNO",7,"FCWWD #40/SHAVER SPRINGS","Community","Community","ACTIVE","Local","Groundwater",193,0,0,193,NA,NA,0,0,69,69,"Small Community","3/24/2016","PINERIDGE","#N/A","Distribution Operator Level 1",171558,161060,62273,142073,413670
"FRESNO",2012,"CA1000112","MCL,  AVERAGE","DISTRICT 23 - FRESNO",1,"FAIRMONT SCHOOL","Non-Transient Non-Community","Non-Transient Non-Community","ACTIVE","Local","Groundwater",NA,483,0,483,NA,NA,0,6,0,6,"NonTransient-NonCommunity Water System","6/16/2014","SANGER","#N/A","Distribution Operator Level 1",171558,161060,62273,142073,413670
"FRESNO",2012,"CA1000112","MCL,  AVERAGE","DISTRICT 23 - FRESNO",4,"FAIRMONT SCHOOL","Non-Transient Non-Community","Non-Transient Non-Community","ACTIVE","Local","Groundwater",NA,483,0,483,NA,NA,0,6,0,6,"NonTransient-NonCommunity Water System","6/16/2014","SANGER","#N/A","Distribution Operator Level 1",171558,161060,62273,142073,413670
"FRESNO",2012,"CA1000112","MCL,  AVERAGE","DISTRICT 23 - FRESNO",7,"FAIRMONT SCHOOL","Non-Transient Non-Community","Non-Transient Non-Community","ACTIVE","Local","Groundwater",NA,483,0,483,NA,NA,0,6,0,6,"NonTransient-NonCommunity Water System","6/16/2014","SANGER","#N/A","Distribution Operator Level 1",171558,161060,62273,142073,413670
