"WATER_SYSTEM_NUMBER","WATER_SYSTEM_NAME","CITY","COUNTY","ZIPCODE","CLASSIFICATION","POPULATION","SERVICE_CONNECTIONS","REGULATING_AGENCY","VIOLATION_NUMBER","VIOLATION_TYPE_NAME","ANALYTE_NAME","RESULT","MCL","VIOL_BEGIN_DATE","VIOL_END_DATE","ENF_ACTION_NUMBER","ENF_ACTION_ISSUE_DATE","ENF_ACTION_TYPE_ISSUED"
"CA0400049","BUTTE CREEK MHP","CHICO","BUTTE","95928","COMMUNITY","100","33","LPA34 - BUTTE COUNTY","1300104","MCL,  AVERAGE","ARSENIC",".014 MG/L","0.010 MG/L",2012-07-01,2013-06-30,"1300431",2013-09-03,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA0400049","BUTTE CREEK MHP","CHICO","BUTTE","95928","COMMUNITY","100","33","LPA34 - BUTTE COUNTY","1500107","STATE PRIMARY MCL VIOL - NOT CR6","ARSENIC",NA,NA,2018-04-01,2018-06-30,"1500580",2018-07-11,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA0400063","MANZANITA ELEMENTARY SCHOOL","GRIDLEY","BUTTE","95948","NON-TRANSIENT NON-COMMUNITY","295","3","LPA34 - BUTTE COUNTY","1100002","STATE PRIMARY MCL VIOL - NOT CR6","1,2,3-TRICHLOROPROPANE",NA,NA,2018-01-01,2018-03-31,"1300408",2018-04-26,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA0400081","FEATHER RIDGE ESTATES WATER CO","BERRY CREEK","BUTTE","95916","COMMUNITY","12","32","LPA34 - BUTTE COUNTY","1400008","STATE PRIMARY MCL VIOL - NOT CR6","1,2,3-TRICHLOROPROPANE",NA,NA,2018-04-01,2018-06-30,"1400500",2018-07-24,"INFORMAL ENFORCEMENT ACTION ISSUED"
"CA0510012","CAMANCHE SOUTH SHORE-EBMUD","VALLEY SPRINGS,","CALAVERAS","95252","COMMUNITY","180","448","DISTRICT 10 - STOCKTON","9310003","MCL, LRAA","TOTAL HALOACETIC ACIDS (HAA5)","0.067 MG/L","0.060 MG/L",2016-04-01,2016-06-30,"9910006",2016-05-24,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA0600008","COLUSA CO. WWD #1 - GRIMES","GRIMES","COLUSA","95950","COMMUNITY","381","123","DISTRICT 21 - VALLEY","1221008","MCL,  AVERAGE","ARSENIC",".02580000 MG/L","0.010 MG/L",2012-07-01,2012-09-30,"921006",2009-01-05,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA0600008","COLUSA CO. WWD #1 - GRIMES","GRIMES","COLUSA","95950","COMMUNITY","381","123","DISTRICT 21 - VALLEY","1221008","MCL,  AVERAGE","ARSENIC",".02580000 MG/L","0.010 MG/L",2012-07-01,2012-09-30,"9621007",2018-02-27,"RETURN TO COMPLIANCE"
"CA0600008","COLUSA CO. WWD #1 - GRIMES","GRIMES","COLUSA","95950","COMMUNITY","381","123","DISTRICT 21 - VALLEY","1221009","MCL,  AVERAGE","ARSENIC","25.6 UG/L","10 UG/L",2012-10-01,2012-12-31,"9621009",2018-03-01,"RETURN TO COMPLIANCE"
"CA0600008","COLUSA CO. WWD #1 - GRIMES","GRIMES","COLUSA","95950","COMMUNITY","381","123","DISTRICT 21 - VALLEY","1221009","MCL,  AVERAGE","ARSENIC","25.6 UG/L","10 UG/L",2012-10-01,2012-12-31,"921006",2009-01-05,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA0600008","COLUSA CO. WWD #1 - GRIMES","GRIMES","COLUSA","95950","COMMUNITY","381","123","DISTRICT 21 - VALLEY","1221010","MCL,  AVERAGE","ARSENIC","24.7 UG/L","10 UG/L",2013-01-01,2013-03-31,"921006",2009-01-05,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA0600008","COLUSA CO. WWD #1 - GRIMES","GRIMES","COLUSA","95950","COMMUNITY","381","123","DISTRICT 21 - VALLEY","1221010","MCL,  AVERAGE","ARSENIC","24.7 UG/L","10 UG/L",2013-01-01,2013-03-31,"9621009",2018-03-01,"RETURN TO COMPLIANCE"
"CA0600008","COLUSA CO. WWD #1 - GRIMES","GRIMES","COLUSA","95950","COMMUNITY","381","123","DISTRICT 21 - VALLEY","1221011","MCL,  AVERAGE","ARSENIC","24.6 UG/L","10 UG/L",2013-04-01,2013-06-30,"921006",2009-01-05,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA0600008","COLUSA CO. WWD #1 - GRIMES","GRIMES","COLUSA","95950","COMMUNITY","381","123","DISTRICT 21 - VALLEY","1221011","MCL,  AVERAGE","ARSENIC","24.6 UG/L","10 UG/L",2013-04-01,2013-06-30,"9621009",2018-03-01,"RETURN TO COMPLIANCE"
"CA0600008","COLUSA CO. WWD #1 - GRIMES","GRIMES","COLUSA","95950","COMMUNITY","381","123","DISTRICT 21 - VALLEY","1221012","MCL,  AVERAGE","ARSENIC","25.2 UG/L","10 UG/L",2013-07-01,2013-09-30,"921006",2009-01-05,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA0600008","COLUSA CO. WWD #1 - GRIMES","GRIMES","COLUSA","95950","COMMUNITY","381","123","DISTRICT 21 - VALLEY","1221012","MCL,  AVERAGE","ARSENIC","25.2 UG/L","10 UG/L",2013-07-01,2013-09-30,"9621009",2018-03-01,"RETURN TO COMPLIANCE"
"CA0600008","COLUSA CO. WWD #1 - GRIMES","GRIMES","COLUSA","95950","COMMUNITY","381","123","DISTRICT 21 - VALLEY","1221013","MCL,  AVERAGE","ARSENIC","24.6 UG/L","10 UG/L",2013-10-01,2013-12-31,"921006",2009-01-05,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA0600008","COLUSA CO. WWD #1 - GRIMES","GRIMES","COLUSA","95950","COMMUNITY","381","123","DISTRICT 21 - VALLEY","1221013","MCL,  AVERAGE","ARSENIC","24.6 UG/L","10 UG/L",2013-10-01,2013-12-31,"9621009",2018-03-01,"RETURN TO COMPLIANCE"
"CA0600008","COLUSA CO. WWD #1 - GRIMES","GRIMES","COLUSA","95950","COMMUNITY","381","123","DISTRICT 21 - VALLEY","1221014","MCL,  AVERAGE","ARSENIC","24.3 UG/L","10 UG/L",2014-01-01,2014-03-31,"9621009",2018-03-01,"RETURN TO COMPLIANCE"
"CA0600008","COLUSA CO. WWD #1 - GRIMES","GRIMES","COLUSA","95950","COMMUNITY","381","123","DISTRICT 21 - VALLEY","1221014","MCL,  AVERAGE","ARSENIC","24.3 UG/L","10 UG/L",2014-01-01,2014-03-31,"921006",2009-01-05,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA0600008","COLUSA CO. WWD #1 - GRIMES","GRIMES","COLUSA","95950","COMMUNITY","381","123","DISTRICT 21 - VALLEY","1221015","MCL,  AVERAGE","ARSENIC","24.1 UG/L","10 UG/L",2014-07-01,2014-09-30,"921006",2009-01-05,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA0600008","COLUSA CO. WWD #1 - GRIMES","GRIMES","COLUSA","95950","COMMUNITY","381","123","DISTRICT 21 - VALLEY","1221015","MCL,  AVERAGE","ARSENIC","24.1 UG/L","10 UG/L",2014-07-01,2014-09-30,"9621009",2018-03-01,"RETURN TO COMPLIANCE"
"CA0600008","COLUSA CO. WWD #1 - GRIMES","GRIMES","COLUSA","95950","COMMUNITY","381","123","DISTRICT 21 - VALLEY","1221016","MCL,  AVERAGE","ARSENIC","23.6 UG/L","10 UG/L",2014-10-01,2014-12-31,"9621009",2018-03-01,"RETURN TO COMPLIANCE"
"CA0600008","COLUSA CO. WWD #1 - GRIMES","GRIMES","COLUSA","95950","COMMUNITY","381","123","DISTRICT 21 - VALLEY","1221016","MCL,  AVERAGE","ARSENIC","23.6 UG/L","10 UG/L",2014-10-01,2014-12-31,"921006",2009-01-05,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA0600008","COLUSA CO. WWD #1 - GRIMES","GRIMES","COLUSA","95950","COMMUNITY","381","123","DISTRICT 21 - VALLEY","1221017","MCL,  AVERAGE","ARSENIC","24.0 UG/L","10 UG/L",2015-04-01,2015-06-30,"921006",2009-01-05,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA0600008","COLUSA CO. WWD #1 - GRIMES","GRIMES","COLUSA","95950","COMMUNITY","381","123","DISTRICT 21 - VALLEY","1221017","MCL,  AVERAGE","ARSENIC","24.0 UG/L","10 UG/L",2015-04-01,2015-06-30,"9621009",2018-03-01,"RETURN TO COMPLIANCE"
"CA0600008","COLUSA CO. WWD #1 - GRIMES","GRIMES","COLUSA","95950","COMMUNITY","381","123","DISTRICT 21 - VALLEY","1221023","MCL,  AVERAGE","ARSENIC","26.1 UG/L","10 UG/L",2012-01-01,2012-03-31,"921006",2009-01-05,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA0600008","COLUSA CO. WWD #1 - GRIMES","GRIMES","COLUSA","95950","COMMUNITY","381","123","DISTRICT 21 - VALLEY","1221023","MCL,  AVERAGE","ARSENIC","26.1 UG/L","10 UG/L",2012-01-01,2012-03-31,"9621009",2018-03-01,"RETURN TO COMPLIANCE"
"CA0600008","COLUSA CO. WWD #1 - GRIMES","GRIMES","COLUSA","95950","COMMUNITY","381","123","DISTRICT 21 - VALLEY","1221024","MCL,  AVERAGE","ARSENIC","25.8 UG/L","10 UG/L",2012-04-01,2012-06-30,"9621009",2018-03-01,"RETURN TO COMPLIANCE"
"CA0600008","COLUSA CO. WWD #1 - GRIMES","GRIMES","COLUSA","95950","COMMUNITY","381","123","DISTRICT 21 - VALLEY","1221024","MCL,  AVERAGE","ARSENIC","25.8 UG/L","10 UG/L",2012-04-01,2012-06-30,"921006",2009-01-05,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA0600008","COLUSA CO. WWD #1 - GRIMES","GRIMES","COLUSA","95950","COMMUNITY","381","123","DISTRICT 21 - VALLEY","1221025","MCL,  AVERAGE","ARSENIC","23.8 UG/L","10 UG/L",2015-01-01,2015-03-31,"921006",2009-01-05,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA0600008","COLUSA CO. WWD #1 - GRIMES","GRIMES","COLUSA","95950","COMMUNITY","381","123","DISTRICT 21 - VALLEY","1221025","MCL,  AVERAGE","ARSENIC","23.8 UG/L","10 UG/L",2015-01-01,2015-03-31,"9621009",2018-03-01,"RETURN TO COMPLIANCE"
"CA0600008","COLUSA CO. WWD #1 - GRIMES","GRIMES","COLUSA","95950","COMMUNITY","381","123","DISTRICT 21 - VALLEY","1221026","MCL,  AVERAGE","ARSENIC","24.0 UG/L",NA,2015-10-01,2015-12-31,"9621009",2018-03-01,"RETURN TO COMPLIANCE"
"CA0600008","COLUSA CO. WWD #1 - GRIMES","GRIMES","COLUSA","95950","COMMUNITY","381","123","DISTRICT 21 - VALLEY","1221026","MCL,  AVERAGE","ARSENIC","24.0 UG/L",NA,2015-10-01,2015-12-31,"9621006",2016-01-15,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA0600008","COLUSA CO. WWD #1 - GRIMES","GRIMES","COLUSA","95950","COMMUNITY","381","123","DISTRICT 21 - VALLEY","1221030","MCL,  AVERAGE","ARSENIC","24 UG/L","10 UG/L",2016-01-01,2016-03-31,"921006",2009-01-05,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA0600008","COLUSA CO. WWD #1 - GRIMES","GRIMES","COLUSA","95950","COMMUNITY","381","123","DISTRICT 21 - VALLEY","1221031","MCL,  AVERAGE","ARSENIC","24 UG/L","10 UG/L",2016-04-01,2016-06-30,"921006",2009-01-05,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA0600008","COLUSA CO. WWD #1 - GRIMES","GRIMES","COLUSA","95950","COMMUNITY","381","123","DISTRICT 21 - VALLEY","1221032","MCL,  AVERAGE","ARSENIC","24 UG/L","10 UG/L",2016-07-01,2016-09-30,"921006",2009-01-05,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA0600008","COLUSA CO. WWD #1 - GRIMES","GRIMES","COLUSA","95950","COMMUNITY","381","123","DISTRICT 21 - VALLEY","1221033","MCL,  AVERAGE","ARSENIC","24 UG/L","10 UG/L",2016-10-01,2016-12-31,"921006",2009-01-05,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA0600008","COLUSA CO. WWD #1 - GRIMES","GRIMES","COLUSA","95950","COMMUNITY","381","123","DISTRICT 21 - VALLEY","1221034","MCL,  AVERAGE","ARSENIC","25 UG/L","10 UG/L",2017-01-01,2017-03-31,"921006",2009-01-05,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA0600008","COLUSA CO. WWD #1 - GRIMES","GRIMES","COLUSA","95950","COMMUNITY","381","123","DISTRICT 21 - VALLEY","1221035","MCL,  AVERAGE","ARSENIC","24 UG/L","10 UG/L",2017-04-01,2017-06-30,"921006",2009-01-05,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA0600008","COLUSA CO. WWD #1 - GRIMES","GRIMES","COLUSA","95950","COMMUNITY","381","123","DISTRICT 21 - VALLEY","1221036","MCL,  AVERAGE","ARSENIC","26 UG/L","10 UG/L",2017-07-01,2017-09-30,"921006",2009-01-05,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA0600008","COLUSA CO. WWD #1 - GRIMES","GRIMES","COLUSA","95950","COMMUNITY","381","123","DISTRICT 21 - VALLEY","1221037","MCL,  AVERAGE","ARSENIC","24 UG/L","10 UG/L",2017-10-01,2017-12-31,"921006",2009-01-05,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA0600008","COLUSA CO. WWD #1 - GRIMES","GRIMES","COLUSA","95950","COMMUNITY","381","123","DISTRICT 21 - VALLEY","1221038","MCL,  AVERAGE","ARSENIC","23 UG/L","10 UG/L",2018-01-01,2018-03-31,"921006",2009-01-05,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA0600008","COLUSA CO. WWD #1 - GRIMES","GRIMES","COLUSA","95950","COMMUNITY","381","123","DISTRICT 21 - VALLEY","1221039","MCL,  AVERAGE","ARSENIC","25.1 UG/L","10 UG/L",2018-04-01,2018-06-30,"921006",2009-01-05,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA0900102","GOLD BEACH PARK","EL DORADO","EL DORADO","95623","COMMUNITY","100","50","LPA39 - EL DORADO COUNTY","1600006","MCL,  AVERAGE","ARSENIC","11 MG/L","0.010 MG/L",2015-10-01,2015-12-31,"9700080",2017-08-15,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA0900102","GOLD BEACH PARK","EL DORADO","EL DORADO","95623","COMMUNITY","100","50","LPA39 - EL DORADO COUNTY","1600006","MCL,  AVERAGE","ARSENIC","11 MG/L","0.010 MG/L",2015-10-01,2015-12-31,"9700079",2016-01-20,"INFORMAL ENFORCEMENT ACTION ISSUED"
"CA0900102","GOLD BEACH PARK","EL DORADO","EL DORADO","95623","COMMUNITY","100","50","LPA39 - EL DORADO COUNTY","1600007","MCL,  AVERAGE","ARSENIC","10 UG/L","5 UG/L",2014-04-01,2014-04-30,"9700080",2017-08-15,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA0900102","GOLD BEACH PARK","EL DORADO","EL DORADO","95623","COMMUNITY","100","50","LPA39 - EL DORADO COUNTY","1600007","MCL,  AVERAGE","ARSENIC","10 UG/L","5 UG/L",2014-04-01,2014-04-30,"1601606",2016-07-28,"INFORMAL ENFORCEMENT ACTION ISSUED"
"CA0900102","GOLD BEACH PARK","EL DORADO","EL DORADO","95623","COMMUNITY","100","50","LPA39 - EL DORADO COUNTY","1600008","MCL,  AVERAGE","ARSENIC","18 UG/L",NA,2016-01-01,2016-12-31,"9700081",2017-11-29,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA1000004","BELMONT WATER CORPORATION","FRESNO","FRESNO","93727","COMMUNITY","264","40","DISTRICT 23 - FRESNO","9700002","STATE PRIMARY MCL VIOL - NOT CR6","1,2,3-TRICHLOROPROPANE","0.024 UG/L","0.005 UG/L",2018-01-01,2018-03-31,"9700114",2018-06-21,"CA STATE ACTION ISSUED"
"CA1000019","FCSA #30/EL PORVENIR","THREE ROCKS","FRESNO","93608","COMMUNITY","185","56","DISTRICT 23 - FRESNO","1223022","MCL,  AVERAGE","TTHM",".09600000 MG/L","0.080 MG/L",2012-01-01,2012-03-31,"9800162",2014-11-07,"STATE INTENTIONAL NO ACTION TAKEN"
"CA1000019","FCSA #30/EL PORVENIR","THREE ROCKS","FRESNO","93608","COMMUNITY","185","56","DISTRICT 23 - FRESNO","1223022","MCL,  AVERAGE","TTHM",".09600000 MG/L","0.080 MG/L",2012-01-01,2012-03-31,"9800171",2019-12-05,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA1000019","FCSA #30/EL PORVENIR","THREE ROCKS","FRESNO","93608","COMMUNITY","185","56","DISTRICT 23 - FRESNO","1223022","MCL,  AVERAGE","TTHM",".09600000 MG/L","0.080 MG/L",2012-01-01,2012-03-31,"912164",2008-10-30,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA1000019","FCSA #30/EL PORVENIR","THREE ROCKS","FRESNO","93608","COMMUNITY","185","56","DISTRICT 23 - FRESNO","1223023","MCL,  AVERAGE","TTHM",".11600000 MG/L","0.080 MG/L",2012-04-01,2012-06-30,"9800171",2019-12-05,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA1000019","FCSA #30/EL PORVENIR","THREE ROCKS","FRESNO","93608","COMMUNITY","185","56","DISTRICT 23 - FRESNO","1223023","MCL,  AVERAGE","TTHM",".11600000 MG/L","0.080 MG/L",2012-04-01,2012-06-30,"9800162",2014-11-07,"STATE INTENTIONAL NO ACTION TAKEN"
"CA1000019","FCSA #30/EL PORVENIR","THREE ROCKS","FRESNO","93608","COMMUNITY","185","56","DISTRICT 23 - FRESNO","1223023","MCL,  AVERAGE","TTHM",".11600000 MG/L","0.080 MG/L",2012-04-01,2012-06-30,"912164",2008-10-30,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA1000019","FCSA #30/EL PORVENIR","THREE ROCKS","FRESNO","93608","COMMUNITY","185","56","DISTRICT 23 - FRESNO","1223024","MCL,  AVERAGE","TTHM",".12600000 MG/L","0.080 MG/L",2012-07-01,2012-09-30,"912164",2008-10-30,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA1000019","FCSA #30/EL PORVENIR","THREE ROCKS","FRESNO","93608","COMMUNITY","185","56","DISTRICT 23 - FRESNO","1223024","MCL,  AVERAGE","TTHM",".12600000 MG/L","0.080 MG/L",2012-07-01,2012-09-30,"9800171",2019-12-05,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA1000019","FCSA #30/EL PORVENIR","THREE ROCKS","FRESNO","93608","COMMUNITY","185","56","DISTRICT 23 - FRESNO","1223024","MCL,  AVERAGE","TTHM",".12600000 MG/L","0.080 MG/L",2012-07-01,2012-09-30,"9800162",2014-11-07,"STATE INTENTIONAL NO ACTION TAKEN"
"CA1000019","FCSA #30/EL PORVENIR","THREE ROCKS","FRESNO","93608","COMMUNITY","185","56","DISTRICT 23 - FRESNO","9800002","MCL,  AVERAGE","TTHM","0.160 MG/L","0.080 MG/L",2012-10-01,2012-12-31,"9800162",2014-11-07,"STATE INTENTIONAL NO ACTION TAKEN"
"CA1000019","FCSA #30/EL PORVENIR","THREE ROCKS","FRESNO","93608","COMMUNITY","185","56","DISTRICT 23 - FRESNO","9800002","MCL,  AVERAGE","TTHM","0.160 MG/L","0.080 MG/L",2012-10-01,2012-12-31,"9800171",2019-12-05,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA1000019","FCSA #30/EL PORVENIR","THREE ROCKS","FRESNO","93608","COMMUNITY","185","56","DISTRICT 23 - FRESNO","9800002","MCL,  AVERAGE","TTHM","0.160 MG/L","0.080 MG/L",2012-10-01,2012-12-31,"912164",2008-10-30,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA1000019","FCSA #30/EL PORVENIR","THREE ROCKS","FRESNO","93608","COMMUNITY","185","56","DISTRICT 23 - FRESNO","9800003","MCL,  AVERAGE","TTHM","0.163 MG/L","0.080 MG/L",2013-01-01,2013-03-31,"9800171",2019-12-05,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA1000019","FCSA #30/EL PORVENIR","THREE ROCKS","FRESNO","93608","COMMUNITY","185","56","DISTRICT 23 - FRESNO","9800003","MCL,  AVERAGE","TTHM","0.163 MG/L","0.080 MG/L",2013-01-01,2013-03-31,"912164",2008-10-30,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA1000019","FCSA #30/EL PORVENIR","THREE ROCKS","FRESNO","93608","COMMUNITY","185","56","DISTRICT 23 - FRESNO","9800003","MCL,  AVERAGE","TTHM","0.163 MG/L","0.080 MG/L",2013-01-01,2013-03-31,"9800162",2014-11-07,"STATE INTENTIONAL NO ACTION TAKEN"
"CA1000019","FCSA #30/EL PORVENIR","THREE ROCKS","FRESNO","93608","COMMUNITY","185","56","DISTRICT 23 - FRESNO","9800004","MCL,  AVERAGE","TTHM","0.163 MG/L","0.080 MG/L",2013-04-01,2013-06-30,"9800162",2014-11-07,"STATE INTENTIONAL NO ACTION TAKEN"
"CA1000019","FCSA #30/EL PORVENIR","THREE ROCKS","FRESNO","93608","COMMUNITY","185","56","DISTRICT 23 - FRESNO","9800004","MCL,  AVERAGE","TTHM","0.163 MG/L","0.080 MG/L",2013-04-01,2013-06-30,"9800171",2019-12-05,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA1000019","FCSA #30/EL PORVENIR","THREE ROCKS","FRESNO","93608","COMMUNITY","185","56","DISTRICT 23 - FRESNO","9800004","MCL,  AVERAGE","TTHM","0.163 MG/L","0.080 MG/L",2013-04-01,2013-06-30,"912164",2008-10-30,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA1000019","FCSA #30/EL PORVENIR","THREE ROCKS","FRESNO","93608","COMMUNITY","185","56","DISTRICT 23 - FRESNO","9800005","MCL,  AVERAGE","TTHM","0.160 MG/L","0.080 MG/L",2013-07-01,2013-09-30,"9800171",2019-12-05,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA1000019","FCSA #30/EL PORVENIR","THREE ROCKS","FRESNO","93608","COMMUNITY","185","56","DISTRICT 23 - FRESNO","9800005","MCL,  AVERAGE","TTHM","0.160 MG/L","0.080 MG/L",2013-07-01,2013-09-30,"9800162",2014-11-07,"STATE INTENTIONAL NO ACTION TAKEN"
"CA1000019","FCSA #30/EL PORVENIR","THREE ROCKS","FRESNO","93608","COMMUNITY","185","56","DISTRICT 23 - FRESNO","9800005","MCL,  AVERAGE","TTHM","0.160 MG/L","0.080 MG/L",2013-07-01,2013-09-30,"912164",2008-10-30,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA1000019","FCSA #30/EL PORVENIR","THREE ROCKS","FRESNO","93608","COMMUNITY","185","56","DISTRICT 23 - FRESNO","9800006","MCL,  AVERAGE","TTHM","0.153 MG/L","0.080 MG/L",2013-10-01,2013-12-31,"9800171",2019-12-05,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA1000019","FCSA #30/EL PORVENIR","THREE ROCKS","FRESNO","93608","COMMUNITY","185","56","DISTRICT 23 - FRESNO","9800006","MCL,  AVERAGE","TTHM","0.153 MG/L","0.080 MG/L",2013-10-01,2013-12-31,"9800162",2014-11-07,"STATE INTENTIONAL NO ACTION TAKEN"
