"WATER_SYSTEM_NUMBER","WATER_SYSTEM_NAME","CITY","COUNTY","ZIPCODE","CLASSIFICATION","POPULATION","SERVICE_CONNECTIONS","REGULATING_AGENCY","VIOLATION_NUMBER","VIOLATION_TYPE_NAME","ANALYTE_NAME","RESULT","MCL","VIOL_BEGIN_DATE","VIOL_END_DATE","ENF_ACTION_NUMBER","ENF_ACTION_ISSUE_DATE","ENF_ACTION_TYPE_ISSUED"
"CA0310011","FIRST MACE MEADOW # 1","PINE GROVE","AMADOR","95665","COMMUNITY","838","337","DISTRICT 10 - STOCKTON","610007","MCL, LRAA","TOTAL HALOACETIC ACIDS (HAA5)","0.065 MG/L","0.060 MG/L",2016-07-01,2016-09-30,"9810003",2018-06-14,"RETURN TO COMPLIANCE"
"CA0310011","FIRST MACE MEADOW # 1","PINE GROVE","AMADOR","95665","COMMUNITY","838","337","DISTRICT 10 - STOCKTON","610007","MCL, LRAA","TOTAL HALOACETIC ACIDS (HAA5)","0.065 MG/L","0.060 MG/L",2016-07-01,2016-09-30,"9810002",2016-07-25,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA0310011","FIRST MACE MEADOW # 1","PINE GROVE","AMADOR","95665","COMMUNITY","838","337","DISTRICT 10 - STOCKTON","610008","MCL, LRAA","TOTAL HALOACETIC ACIDS (HAA5)","0.068 MG/L","0.060 MG/L",2017-01-01,2017-03-31,"9810002",2016-07-25,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA0310011","FIRST MACE MEADOW # 1","PINE GROVE","AMADOR","95665","COMMUNITY","838","337","DISTRICT 10 - STOCKTON","610008","MCL, LRAA","TOTAL HALOACETIC ACIDS (HAA5)","0.068 MG/L","0.060 MG/L",2017-01-01,2017-03-31,"9810003",2018-06-14,"RETURN TO COMPLIANCE"
"CA0400028","BIG BEND MOBILE HOME PARK","OROVILLE","BUTTE","95965","COMMUNITY","85","35","LPA34 - BUTTE COUNTY","1500016","STATE PRIMARY MCL VIOL - NOT CR6","1,2,3-TRICHLOROPROPANE",NA,NA,2018-04-01,2018-06-30,"1700689",2018-08-20,"RETURN TO COMPLIANCE"
"CA0400028","BIG BEND MOBILE HOME PARK","OROVILLE","BUTTE","95965","COMMUNITY","85","35","LPA34 - BUTTE COUNTY","1500016","STATE PRIMARY MCL VIOL - NOT CR6","1,2,3-TRICHLOROPROPANE",NA,NA,2018-04-01,2018-06-30,"1700687",2018-07-24,"INFORMAL ENFORCEMENT ACTION ISSUED"
"CA0400042","FOREST VILLAGE LLC","FOREST RANCH","BUTTE","95942","COMMUNITY","34","21","LPA34 - BUTTE COUNTY","1600244","STATE PRIMARY MCL VIOL - NOT CR6","1,2,3-TRICHLOROPROPANE",NA,NA,2018-04-01,2018-06-30,"1600680",2018-08-13,"RETURN TO COMPLIANCE"
"CA0400042","FOREST VILLAGE LLC","FOREST RANCH","BUTTE","95942","COMMUNITY","34","21","LPA34 - BUTTE COUNTY","1600244","STATE PRIMARY MCL VIOL - NOT CR6","1,2,3-TRICHLOROPROPANE",NA,NA,2018-04-01,2018-06-30,"1600677",2018-07-24,"INFORMAL ENFORCEMENT ACTION ISSUED"
"CA0400073","NORD COUNTRY SCHOOL","CHICO","BUTTE","95973","NON-TRANSIENT NON-COMMUNITY","66","6","LPA34 - BUTTE COUNTY","1100003","MCL,  AVERAGE","NITRATE-NITRITE","11 MG/L","10 MG/L",2017-07-01,2017-07-31,"1200322",2018-01-19,"RETURN TO COMPLIANCE"
"CA0400073","NORD COUNTRY SCHOOL","CHICO","BUTTE","95973","NON-TRANSIENT NON-COMMUNITY","66","6","LPA34 - BUTTE COUNTY","1100003","MCL,  AVERAGE","NITRATE-NITRITE","11 MG/L","10 MG/L",2017-07-01,2017-07-31,"1200321",2017-07-25,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA0510003","ANGELS, CITY OF","ANGELS CAMP","CALAVERAS","95222","COMMUNITY","3836","1797","DISTRICT 10 - STOCKTON","9410004","MCL, LRAA","TTHM","0.081 MG/L","0.080 MG/L",2015-07-01,2015-09-30,"9710009",2015-08-11,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA0510003","ANGELS, CITY OF","ANGELS CAMP","CALAVERAS","95222","COMMUNITY","3836","1797","DISTRICT 10 - STOCKTON","9410004","MCL, LRAA","TTHM","0.081 MG/L","0.080 MG/L",2015-07-01,2015-09-30,"9710011",2016-09-30,"RETURN TO COMPLIANCE"
"CA0706028","KNIGHTSEN ELEMENTARY SCHOOL","KNIGHTSEN","CONTRA COSTA","94548","NON-TRANSIENT NON-COMMUNITY","350","3","LPA37 - CONTRA COSTA COUNTY","1400002","MCL,  AVERAGE","ARSENIC","0.012 MG/L","0.010 MG/L",2014-04-01,2014-06-30,"1700342",2017-03-22,"RETURN TO COMPLIANCE"
"CA0706028","KNIGHTSEN ELEMENTARY SCHOOL","KNIGHTSEN","CONTRA COSTA","94548","NON-TRANSIENT NON-COMMUNITY","350","3","LPA37 - CONTRA COSTA COUNTY","1400002","MCL,  AVERAGE","ARSENIC","0.012 MG/L","0.010 MG/L",2014-04-01,2014-06-30,"1000323",2009-10-16,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA0706028","KNIGHTSEN ELEMENTARY SCHOOL","KNIGHTSEN","CONTRA COSTA","94548","NON-TRANSIENT NON-COMMUNITY","350","3","LPA37 - CONTRA COSTA COUNTY","1400003","MCL,  AVERAGE","ARSENIC","0.0132 MG/L",NA,2014-01-01,2014-03-31,"1000323",2009-10-16,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA0706028","KNIGHTSEN ELEMENTARY SCHOOL","KNIGHTSEN","CONTRA COSTA","94548","NON-TRANSIENT NON-COMMUNITY","350","3","LPA37 - CONTRA COSTA COUNTY","1400003","MCL,  AVERAGE","ARSENIC","0.0132 MG/L",NA,2014-01-01,2014-03-31,"1700342",2017-03-22,"RETURN TO COMPLIANCE"
"CA0706028","KNIGHTSEN ELEMENTARY SCHOOL","KNIGHTSEN","CONTRA COSTA","94548","NON-TRANSIENT NON-COMMUNITY","350","3","LPA37 - CONTRA COSTA COUNTY","1400004","MCL,  AVERAGE","ARSENIC","0.013 MG/L",NA,2014-07-01,2014-09-30,"1700342",2017-03-22,"RETURN TO COMPLIANCE"
"CA0706028","KNIGHTSEN ELEMENTARY SCHOOL","KNIGHTSEN","CONTRA COSTA","94548","NON-TRANSIENT NON-COMMUNITY","350","3","LPA37 - CONTRA COSTA COUNTY","1400004","MCL,  AVERAGE","ARSENIC","0.013 MG/L",NA,2014-07-01,2014-09-30,"1000323",2009-10-16,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA0706028","KNIGHTSEN ELEMENTARY SCHOOL","KNIGHTSEN","CONTRA COSTA","94548","NON-TRANSIENT NON-COMMUNITY","350","3","LPA37 - CONTRA COSTA COUNTY","1400005","MCL,  AVERAGE","ARSENIC",".0127 MG/L",NA,2014-10-01,2014-12-31,"1700342",2017-03-22,"RETURN TO COMPLIANCE"
"CA0706028","KNIGHTSEN ELEMENTARY SCHOOL","KNIGHTSEN","CONTRA COSTA","94548","NON-TRANSIENT NON-COMMUNITY","350","3","LPA37 - CONTRA COSTA COUNTY","1400005","MCL,  AVERAGE","ARSENIC",".0127 MG/L",NA,2014-10-01,2014-12-31,"1000323",2009-10-16,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA0706028","KNIGHTSEN ELEMENTARY SCHOOL","KNIGHTSEN","CONTRA COSTA","94548","NON-TRANSIENT NON-COMMUNITY","350","3","LPA37 - CONTRA COSTA COUNTY","1400006","MCL,  AVERAGE","ARSENIC","0.013 MG/L",NA,2015-01-01,2015-03-31,"1700342",2017-03-22,"RETURN TO COMPLIANCE"
"CA0706028","KNIGHTSEN ELEMENTARY SCHOOL","KNIGHTSEN","CONTRA COSTA","94548","NON-TRANSIENT NON-COMMUNITY","350","3","LPA37 - CONTRA COSTA COUNTY","1400006","MCL,  AVERAGE","ARSENIC","0.013 MG/L",NA,2015-01-01,2015-03-31,"1000323",2009-10-16,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA0706028","KNIGHTSEN ELEMENTARY SCHOOL","KNIGHTSEN","CONTRA COSTA","94548","NON-TRANSIENT NON-COMMUNITY","350","3","LPA37 - CONTRA COSTA COUNTY","1400007","MCL,  AVERAGE","ARSENIC","0.013 MG/L",NA,2015-04-01,2015-06-30,"1000323",2009-10-16,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA0706028","KNIGHTSEN ELEMENTARY SCHOOL","KNIGHTSEN","CONTRA COSTA","94548","NON-TRANSIENT NON-COMMUNITY","350","3","LPA37 - CONTRA COSTA COUNTY","1400007","MCL,  AVERAGE","ARSENIC","0.013 MG/L",NA,2015-04-01,2015-06-30,"1700342",2017-03-22,"RETURN TO COMPLIANCE"
"CA0706028","KNIGHTSEN ELEMENTARY SCHOOL","KNIGHTSEN","CONTRA COSTA","94548","NON-TRANSIENT NON-COMMUNITY","350","3","LPA37 - CONTRA COSTA COUNTY","1400008","MCL,  AVERAGE","ARSENIC","0.013 MG/L",NA,2015-07-01,2015-09-30,"1700342",2017-03-22,"RETURN TO COMPLIANCE"
"CA0706028","KNIGHTSEN ELEMENTARY SCHOOL","KNIGHTSEN","CONTRA COSTA","94548","NON-TRANSIENT NON-COMMUNITY","350","3","LPA37 - CONTRA COSTA COUNTY","1400008","MCL,  AVERAGE","ARSENIC","0.013 MG/L",NA,2015-07-01,2015-09-30,"1000323",2009-10-16,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA0706028","KNIGHTSEN ELEMENTARY SCHOOL","KNIGHTSEN","CONTRA COSTA","94548","NON-TRANSIENT NON-COMMUNITY","350","3","LPA37 - CONTRA COSTA COUNTY","1400009","MCL,  AVERAGE","ARSENIC","0.013 MG/L",NA,2015-10-01,2015-12-31,"1000323",2009-10-16,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA0706028","KNIGHTSEN ELEMENTARY SCHOOL","KNIGHTSEN","CONTRA COSTA","94548","NON-TRANSIENT NON-COMMUNITY","350","3","LPA37 - CONTRA COSTA COUNTY","1400009","MCL,  AVERAGE","ARSENIC","0.013 MG/L",NA,2015-10-01,2015-12-31,"1700342",2017-03-22,"RETURN TO COMPLIANCE"
"CA0706028","KNIGHTSEN ELEMENTARY SCHOOL","KNIGHTSEN","CONTRA COSTA","94548","NON-TRANSIENT NON-COMMUNITY","350","3","LPA37 - CONTRA COSTA COUNTY","1400010","MCL,  AVERAGE","ARSENIC","0.012 MG/L",NA,2016-01-01,2016-03-31,"1000323",2009-10-16,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA0706028","KNIGHTSEN ELEMENTARY SCHOOL","KNIGHTSEN","CONTRA COSTA","94548","NON-TRANSIENT NON-COMMUNITY","350","3","LPA37 - CONTRA COSTA COUNTY","1400010","MCL,  AVERAGE","ARSENIC","0.012 MG/L",NA,2016-01-01,2016-03-31,"1700342",2017-03-22,"RETURN TO COMPLIANCE"
"CA0706028","KNIGHTSEN ELEMENTARY SCHOOL","KNIGHTSEN","CONTRA COSTA","94548","NON-TRANSIENT NON-COMMUNITY","350","3","LPA37 - CONTRA COSTA COUNTY","1400011","MCL,  AVERAGE","ARSENIC","0.012 MG/L",NA,2016-07-01,2016-09-30,"1000323",2009-10-16,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA0706028","KNIGHTSEN ELEMENTARY SCHOOL","KNIGHTSEN","CONTRA COSTA","94548","NON-TRANSIENT NON-COMMUNITY","350","3","LPA37 - CONTRA COSTA COUNTY","1400011","MCL,  AVERAGE","ARSENIC","0.012 MG/L",NA,2016-07-01,2016-09-30,"1700342",2017-03-22,"RETURN TO COMPLIANCE"
"CA0706028","KNIGHTSEN ELEMENTARY SCHOOL","KNIGHTSEN","CONTRA COSTA","94548","NON-TRANSIENT NON-COMMUNITY","350","3","LPA37 - CONTRA COSTA COUNTY","1400012","MCL,  AVERAGE","ARSENIC","0.012 MG/L",NA,2016-04-01,2016-06-30,"1000323",2009-10-16,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA0706028","KNIGHTSEN ELEMENTARY SCHOOL","KNIGHTSEN","CONTRA COSTA","94548","NON-TRANSIENT NON-COMMUNITY","350","3","LPA37 - CONTRA COSTA COUNTY","1400012","MCL,  AVERAGE","ARSENIC","0.012 MG/L",NA,2016-04-01,2016-06-30,"1700342",2017-03-22,"RETURN TO COMPLIANCE"
"CA0706028","KNIGHTSEN ELEMENTARY SCHOOL","KNIGHTSEN","CONTRA COSTA","94548","NON-TRANSIENT NON-COMMUNITY","350","3","LPA37 - CONTRA COSTA COUNTY","1400013","MCL,  AVERAGE","ARSENIC","0.012 MG/L",NA,2016-10-01,2016-12-31,"1700342",2017-03-22,"RETURN TO COMPLIANCE"
"CA0706028","KNIGHTSEN ELEMENTARY SCHOOL","KNIGHTSEN","CONTRA COSTA","94548","NON-TRANSIENT NON-COMMUNITY","350","3","LPA37 - CONTRA COSTA COUNTY","1400013","MCL,  AVERAGE","ARSENIC","0.012 MG/L",NA,2016-10-01,2016-12-31,"1000323",2009-10-16,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA0707615","DOUBLETREE RANCH WATER SYSTEM","LIVERMORE","CONTRA COSTA","94550","COMMUNITY","49","18","LPA37 - CONTRA COSTA COUNTY","1400021","MCL,  AVERAGE","ARSENIC","0.022 MG/L","0.010 MG/L",2014-04-01,2014-06-30,"800252",2008-10-21,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA0707615","DOUBLETREE RANCH WATER SYSTEM","LIVERMORE","CONTRA COSTA","94550","COMMUNITY","49","18","LPA37 - CONTRA COSTA COUNTY","1400021","MCL,  AVERAGE","ARSENIC","0.022 MG/L","0.010 MG/L",2014-04-01,2014-06-30,"1000277",2018-08-01,"RETURN TO COMPLIANCE"
"CA0707615","DOUBLETREE RANCH WATER SYSTEM","LIVERMORE","CONTRA COSTA","94550","COMMUNITY","49","18","LPA37 - CONTRA COSTA COUNTY","1400021","MCL,  AVERAGE","ARSENIC","0.022 MG/L","0.010 MG/L",2014-04-01,2014-06-30,"900261",2009-01-22,"INFORMAL ENFORCEMENT ACTION ISSUED"
"CA0707615","DOUBLETREE RANCH WATER SYSTEM","LIVERMORE","CONTRA COSTA","94550","COMMUNITY","49","18","LPA37 - CONTRA COSTA COUNTY","1500022","MCL,  AVERAGE","ARSENIC","0.021 MG/L","0.010 MG/L",2015-01-01,2015-03-30,"800252",2008-10-21,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA0707615","DOUBLETREE RANCH WATER SYSTEM","LIVERMORE","CONTRA COSTA","94550","COMMUNITY","49","18","LPA37 - CONTRA COSTA COUNTY","1500022","MCL,  AVERAGE","ARSENIC","0.021 MG/L","0.010 MG/L",2015-01-01,2015-03-30,"1000277",2018-08-01,"RETURN TO COMPLIANCE"
"CA0707615","DOUBLETREE RANCH WATER SYSTEM","LIVERMORE","CONTRA COSTA","94550","COMMUNITY","49","18","LPA37 - CONTRA COSTA COUNTY","1600023","MCL,  AVERAGE","ARSENIC","0.023 MG/L","0.010 MG/L",2015-10-01,2015-12-31,"800252",2008-10-21,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA0707615","DOUBLETREE RANCH WATER SYSTEM","LIVERMORE","CONTRA COSTA","94550","COMMUNITY","49","18","LPA37 - CONTRA COSTA COUNTY","1600023","MCL,  AVERAGE","ARSENIC","0.023 MG/L","0.010 MG/L",2015-10-01,2015-12-31,"1000277",2018-08-01,"RETURN TO COMPLIANCE"
"CA0707615","DOUBLETREE RANCH WATER SYSTEM","LIVERMORE","CONTRA COSTA","94550","COMMUNITY","49","18","LPA37 - CONTRA COSTA COUNTY","1600024","MCL,  AVERAGE","ARSENIC","0.022 MG/L","0.010 MG/L",2016-01-01,2016-03-31,"800252",2008-10-21,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA0707615","DOUBLETREE RANCH WATER SYSTEM","LIVERMORE","CONTRA COSTA","94550","COMMUNITY","49","18","LPA37 - CONTRA COSTA COUNTY","1600024","MCL,  AVERAGE","ARSENIC","0.022 MG/L","0.010 MG/L",2016-01-01,2016-03-31,"1000277",2018-08-01,"RETURN TO COMPLIANCE"
"CA0707615","DOUBLETREE RANCH WATER SYSTEM","LIVERMORE","CONTRA COSTA","94550","COMMUNITY","49","18","LPA37 - CONTRA COSTA COUNTY","1600025","MCL,  AVERAGE","ARSENIC","0.027 MG/L","0.010 MG/L",2016-03-01,2016-06-30,"800252",2008-10-21,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA0707615","DOUBLETREE RANCH WATER SYSTEM","LIVERMORE","CONTRA COSTA","94550","COMMUNITY","49","18","LPA37 - CONTRA COSTA COUNTY","1600025","MCL,  AVERAGE","ARSENIC","0.027 MG/L","0.010 MG/L",2016-03-01,2016-06-30,"1000277",2018-08-01,"RETURN TO COMPLIANCE"
"CA0707615","DOUBLETREE RANCH WATER SYSTEM","LIVERMORE","CONTRA COSTA","94550","COMMUNITY","49","18","LPA37 - CONTRA COSTA COUNTY","1600026","MCL,  AVERAGE","ARSENIC","0.028 MG/L","0.010 MG/L",2016-07-01,2016-09-30,"800252",2008-10-21,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA0707615","DOUBLETREE RANCH WATER SYSTEM","LIVERMORE","CONTRA COSTA","94550","COMMUNITY","49","18","LPA37 - CONTRA COSTA COUNTY","1600026","MCL,  AVERAGE","ARSENIC","0.028 MG/L","0.010 MG/L",2016-07-01,2016-09-30,"1000277",2018-08-01,"RETURN TO COMPLIANCE"
"CA0707615","DOUBLETREE RANCH WATER SYSTEM","LIVERMORE","CONTRA COSTA","94550","COMMUNITY","49","18","LPA37 - CONTRA COSTA COUNTY","1600027","MCL,  AVERAGE","ARSENIC","28.5 UG/L",NA,2017-01-01,2017-03-31,"1000276",2016-10-27,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA0707615","DOUBLETREE RANCH WATER SYSTEM","LIVERMORE","CONTRA COSTA","94550","COMMUNITY","49","18","LPA37 - CONTRA COSTA COUNTY","1600027","MCL,  AVERAGE","ARSENIC","28.5 UG/L",NA,2017-01-01,2017-03-31,"1000277",2018-08-01,"RETURN TO COMPLIANCE"
"CA0707615","DOUBLETREE RANCH WATER SYSTEM","LIVERMORE","CONTRA COSTA","94550","COMMUNITY","49","18","LPA37 - CONTRA COSTA COUNTY","1600028","MCL,  AVERAGE","ARSENIC","0.026 MG/L",NA,2016-10-01,2016-12-31,"1000277",2018-08-01,"RETURN TO COMPLIANCE"
"CA0707615","DOUBLETREE RANCH WATER SYSTEM","LIVERMORE","CONTRA COSTA","94550","COMMUNITY","49","18","LPA37 - CONTRA COSTA COUNTY","1600028","MCL,  AVERAGE","ARSENIC","0.026 MG/L",NA,2016-10-01,2016-12-31,"1000276",2016-10-27,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA0707615","DOUBLETREE RANCH WATER SYSTEM","LIVERMORE","CONTRA COSTA","94550","COMMUNITY","49","18","LPA37 - CONTRA COSTA COUNTY","1600029","MCL,  AVERAGE","ARSENIC","0.024 MG/L",NA,2015-07-01,2015-09-30,"800252",2008-10-21,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA0707615","DOUBLETREE RANCH WATER SYSTEM","LIVERMORE","CONTRA COSTA","94550","COMMUNITY","49","18","LPA37 - CONTRA COSTA COUNTY","1600029","MCL,  AVERAGE","ARSENIC","0.024 MG/L",NA,2015-07-01,2015-09-30,"1000277",2018-08-01,"RETURN TO COMPLIANCE"
"CA0707615","DOUBLETREE RANCH WATER SYSTEM","LIVERMORE","CONTRA COSTA","94550","COMMUNITY","49","18","LPA37 - CONTRA COSTA COUNTY","1600030","MCL,  AVERAGE","ARSENIC","0.023 MG/L",NA,2015-04-01,2015-06-30,"1000277",2018-08-01,"RETURN TO COMPLIANCE"
"CA0707615","DOUBLETREE RANCH WATER SYSTEM","LIVERMORE","CONTRA COSTA","94550","COMMUNITY","49","18","LPA37 - CONTRA COSTA COUNTY","1600030","MCL,  AVERAGE","ARSENIC","0.023 MG/L",NA,2015-04-01,2015-06-30,"800252",2008-10-21,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA0707615","DOUBLETREE RANCH WATER SYSTEM","LIVERMORE","CONTRA COSTA","94550","COMMUNITY","49","18","LPA37 - CONTRA COSTA COUNTY","1600031","MCL,  AVERAGE","ARSENIC","0.020 MG/L",NA,2014-10-01,2014-12-31,"1000277",2018-08-01,"RETURN TO COMPLIANCE"
"CA0707615","DOUBLETREE RANCH WATER SYSTEM","LIVERMORE","CONTRA COSTA","94550","COMMUNITY","49","18","LPA37 - CONTRA COSTA COUNTY","1600031","MCL,  AVERAGE","ARSENIC","0.020 MG/L",NA,2014-10-01,2014-12-31,"800252",2008-10-21,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA0707615","DOUBLETREE RANCH WATER SYSTEM","LIVERMORE","CONTRA COSTA","94550","COMMUNITY","49","18","LPA37 - CONTRA COSTA COUNTY","1600032","MCL,  AVERAGE","ARSENIC","0.021 MG/L",NA,2014-07-01,2014-09-30,"1000277",2018-08-01,"RETURN TO COMPLIANCE"
"CA0707615","DOUBLETREE RANCH WATER SYSTEM","LIVERMORE","CONTRA COSTA","94550","COMMUNITY","49","18","LPA37 - CONTRA COSTA COUNTY","1600032","MCL,  AVERAGE","ARSENIC","0.021 MG/L",NA,2014-07-01,2014-09-30,"800252",2008-10-21,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA0707615","DOUBLETREE RANCH WATER SYSTEM","LIVERMORE","CONTRA COSTA","94550","COMMUNITY","49","18","LPA37 - CONTRA COSTA COUNTY","1600033","MCL,  AVERAGE","ARSENIC","0.023 MG/L",NA,2014-01-01,2014-03-31,"800252",2008-10-21,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA0707615","DOUBLETREE RANCH WATER SYSTEM","LIVERMORE","CONTRA COSTA","94550","COMMUNITY","49","18","LPA37 - CONTRA COSTA COUNTY","1600033","MCL,  AVERAGE","ARSENIC","0.023 MG/L",NA,2014-01-01,2014-03-31,"1000277",2018-08-01,"RETURN TO COMPLIANCE"
"CA0707615","DOUBLETREE RANCH WATER SYSTEM","LIVERMORE","CONTRA COSTA","94550","COMMUNITY","49","18","LPA37 - CONTRA COSTA COUNTY","1600034","MCL,  AVERAGE","ARSENIC","0.021 MG/L",NA,2013-10-01,2013-12-31,"800252",2008-10-21,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA0707615","DOUBLETREE RANCH WATER SYSTEM","LIVERMORE","CONTRA COSTA","94550","COMMUNITY","49","18","LPA37 - CONTRA COSTA COUNTY","1600034","MCL,  AVERAGE","ARSENIC","0.021 MG/L",NA,2013-10-01,2013-12-31,"1000277",2018-08-01,"RETURN TO COMPLIANCE"
"CA0707615","DOUBLETREE RANCH WATER SYSTEM","LIVERMORE","CONTRA COSTA","94550","COMMUNITY","49","18","LPA37 - CONTRA COSTA COUNTY","1600035","MCL,  AVERAGE","ARSENIC","0.021 MG/L",NA,2013-07-01,2013-09-30,"1000277",2018-08-01,"RETURN TO COMPLIANCE"
"CA0707615","DOUBLETREE RANCH WATER SYSTEM","LIVERMORE","CONTRA COSTA","94550","COMMUNITY","49","18","LPA37 - CONTRA COSTA COUNTY","1600035","MCL,  AVERAGE","ARSENIC","0.021 MG/L",NA,2013-07-01,2013-09-30,"800252",2008-10-21,"FORMAL ENFORCEMENT ACTION ISSUED"
"CA0707615","DOUBLETREE RANCH WATER SYSTEM","LIVERMORE","CONTRA COSTA","94550","COMMUNITY","49","18","LPA37 - CONTRA COSTA COUNTY","1600036","MCL,  AVERAGE","ARSENIC","0.022 MG/L",NA,2013-04-01,2013-06-30,"1000277",2018-08-01,"RETURN TO COMPLIANCE"
